Model,NumRealParameters,ParameterMatchedTarget,ParameterDifference,ActualActiveParams,ActiveWeights,ActiveBiases,WeightSparsityPercent,FinalFitSamples
Complex GMP DOMP-100,200,NaN,NaN,200,200,0,0,49151
Coupled PN-IQ (shared DOMP-100),200,NaN,NaN,200,200,0,0,49151
Independent PN-IQ full,344,344,0,344,344,0,0,49151
Complex GMP DOMP parameter-matched,344,344,0,344,344,0,0,49151
Independent I/Q without PN,396,NaN,NaN,396,396,0,0,49151
Independent PN-IQ reduced DOMP,200,200,0,200,200,0,0,49151
PNNN H4 dense,350,344,6,350,344,6,0,49151
PNNN N12 dense,1046,344,702,1046,1032,14,0,49151
PNNN N12 sparse,344,344,0,344,330,14,68.0232558139535,49151
