StabilizationWindowParameters,StabilizationToleranceDb,HasJointlyStabilizedPoint,SelectedParameters,SelectedComplexGMPFutureGainDb,SelectedPNIQFutureGainDb,SelectedSparsePNNNFutureGainDb,SelectedWorstFutureGainDb
80,0.15,1,370,0.00199837416972315,0.143319905119654,0.0359594332420841,0.143319905119654
80,0.2,1,340,0.0112139199778269,0.187337326721682,0.0744051963698595,0.187337326721682
80,0.25,1,330,0.00994784103654922,0.209430329970608,0.0949656864469688,0.209430329970608
100,0.15,1,380,0.000709781246079899,0.14571253553968,0.106382361269361,0.14571253553968
100,0.2,1,340,0.0112139199778269,0.195228034498044,0.0771776318507733,0.195228034498044
100,0.25,1,330,0.00994784103654922,0.215451548353414,0.0977381219278826,0.215451548353414
120,0.15,0,NaN,NaN,NaN,NaN,NaN
120,0.2,1,350,0.00959177969408387,0.187880034282593,0.153266736000639,0.187880034282593
120,0.25,1,330,0.00994784103654922,0.227797866159065,0.0977381219278826,0.227797866159065
